mod_id,mod_installed_name,mod_version,file_installed_name
48526,"SkyRealism - Shiny - Dwarven Weapons and Armor","1.2.0.0","Dwarven Weapons and Armor-48526-1-2.7z"
48526,"SkyRealism - Shiny - Ebony Weapons and Armor","1.2.0.0","Ebony Weapons and Armor-48526-1-2.7z"
48526,"SkyRealism - Shiny - Elven Weapons and Armor","1.2.0.0","Elven Weapons and Armor-48526-1-2.7z"
48526,"SkyRealism - Shiny - Glass Weapons and Armor","1.2.0.0","Glass Weapons and Armor-48526-1-0a.7z"
48526,"SkyRealism - Shiny - Nord Hero Weapons and Armor","1.2.0.0","Nord Hero Weapons-48526-1-2.7z"
48526,"SkyRealism - Shiny - Nordic Weapons and Armor","1.2.0.0","Nordic Weapons and Armor-48526-1-2.7z"
48526,"SkyRealism - Shiny - Orcish Weapons and Armor","1.2.0.0","Orcish Weapons and Armor-48526-1-0a.7z"
48526,"SkyRealism - Shiny - Silver Weapons and Scimitars","1.2.0.0","Silver Weapons and Scimitars-48526-1-0a.7z"
48526,"SkyRealism - Shiny - Steel Plate Armor","1.2.0.0","Steel Plate Armor-48526-1-2.7z"
48526,"SkyRealism - Shiny - Steel Weapons and Armor","1.2.0.0","Steel Weapons and Armor-48526-1-21.7z"
48526,"SkyRealism - Shiny - Wolf Armor","1.2.0.0","Wolf Armor-48526-1-2.7z"
57859,"Skyrim - Enhanced Camera","1.1.0.0","Enhanced Camera 1.1-57859-1-1.zip"
1175,"Skyrim -Community- Uncapper","1.15.2.0","Skyrim -Community- Uncapper v1_15_2_0-1175-1-15-2-0.rar"
63441,"Skyrim DLC Subsurface Scattering Patch for ENB","1.0.0.0","C:/Users/David/Downloads/Skyrim DLC Subsurface Scattering Patch for ENB-63441-1-0.7z"
607,"Skyrim HD v1 5 FULL - Towns","d2014.12.10","D:/Skyrim Mod Combiner/Texture Packs/Skyrim HD v1_5 FULL - Towns-607.7z"
24913,"Skyrim Immersive Creatures","6.5.2.0b","C:/Users/David/Downloads/Skyrim Immersive Creatures v6_5_2b.7z"
32505,"Skyrim Project Optimization","1.6.0.0","Skyrim Project Optimization - Full Version-32505-1-6.rar"
0,"Skyrim Realistic Overhaul - Dungeons","d2014.12.10","C:/Users/David/Downloads/Skyrim Realistic Overhaul 1_1 2048k-5400-1-1/Skyrim Realistic Overhaul - Dungeons.7z"
56137,"Skyrim Realistic Texture Overhaul Clouds","1.1.0.0","Realistic Clouds 1K-56137-1-1.7z"
58461,"Skyrim Realistic Texture Overhaul dragons 4K-8K","1.82.0.0","UHD Dragons 2-4K-58461-1-80.7z"
0,"Skyrim Subsurface Scattering Patch for ENB","d2016.6.4","C:/Users/David/Downloads/Skyrim_Subsurface_Scattering_Patch_for_ENB.zip"
64201,"Skyrim Wayshrines - Immersive Fast Travel","2.0.0.0","SWIFT NMM-FOMOD Installer-64201-2-02.rar"
3863,"SkyUI 5","5.0.0.0","SkyUI_5_0-3863-5-0.7z"
51467,"SMC Mods","1.3.8.2","D:/Skyrim Mod Combiner/Output/SMC.7z"
51467,"SMC Textures","1.3.8.2","D:/mod combiner/Output/SMC/SMC Textures Only.7z"
26145,"Smooth Male Body - Never-Nude Version With Underwear","1.3.0.0","Smooth Male Body - NEVERNUDE Version with underwear-26145-1-3.7z"
34139,"Softer Conjuration Sound","f1.00","Softer Conjuration Sound-34139-1-00.rar"
49829,"Solitude HD Gate","1.2.0.0a","HD Solitude Gate 1_2a-49829-1-2a.rar"
49175,"Spellbreaker HD","1.24.0.0","Spellbreaker HD 1_24-49175-1-24.rar"
8655,"Static Mesh Improvement Mod","1.74.0.0","SMIM 1-74-8655-1-74.7z"
56588,"Stunning Statues of Skyrim","1.3.0.0","Stunning Statues of Skyrim-56588-v1-3.7z"
56545,"Subtle Cloak Spell Graphics","1.2.0.0","Subtle Cloaks-56545-1-2.zip"
37256,"Superior Rock Textures - Light Gray 2K","1.2.0.0","   Superior Rocks Default - Light Grey HD-2K NEW-37256-1-1a.7z"
